city,area,district,area_type,population_m,area_km2,IFS,DLS,SES,WDI,MCI,WSI,WEI,MCI_class,Safety_risk,Employment_gap,Profile_label,MCI_predicted,MCI_class_predicted
Chandigarh (UT),Chandigarh City (UT),Chandigarh,UT Core — Planned,0.96,114.0,85.8447663104025,94.01960784313725,69.89891773728596,98.00637672328092,86.37388449722623,75.68878774686533,73.68175068283679,Connected,Low safety risk,Adequate opportunity,Socio-economic barrier (mild),82.72750795313327,Connected
Chandigarh (UT),Mohali / SAS Nagar,Chandigarh,Punjab Satellite,0.22,38.0,77.35893521032747,81.61384448748157,68.5054406977678,82.2399151853861,77.43327302526275,77.67616120071604,69.76378641908767,Connected,Low safety risk,Adequate opportunity,Socio-economic barrier (mild),80.46074070861174,Connected
Chandigarh (UT),Panchkula,Chandigarh,Haryana Satellite,0.56,816.0,33.04976096014815,68.85087320160476,57.078724159349974,66.77428058526257,51.114026130101955,54.92787504650991,48.07563992022604,Partial connectivity,Moderate safety risk,Moderate employment gap,Infrastructure gap (moderate),57.281631884533695,Partial connectivity
Kochi (Kerala),Kochi City (KMC),Kochi,Municipal Corporation,0.68,94.88,99.01529229712399,95.0,76.13795600065097,100.0,92.93045894646433,82.90327798014806,87.5047452009523,Connected,Low safety risk,Adequate opportunity,Socio-economic barrier (mild),82.72750795313327,Connected
Kochi (Kerala),Ernakulam Suburban,Kochi,Greater Kochi Suburbs,0.92,320.0,69.58176529226742,91.23871833813517,73.24317737505646,95.56664975498245,79.97887578684131,74.18574574377354,78.2250576198438,Connected,Low safety risk,Adequate opportunity,Socio-economic barrier (mild),81.87716550513602,Connected
Kochi (Kerala),Aluva-Angamaly,Kochi,Industrial Suburban,0.52,180.0,43.386399172243046,75.39514804008518,68.26994378202909,74.43013614062092,60.829808854347114,64.69837743852806,65.84755962765725,Near-connected,Low safety risk,Adequate opportunity,Infrastructure gap (mild),61.498402013721595,Near-connected
Jaipur (Rajasthan),Jaipur City Core (JMC),Jaipur,Municipal Corporation,2.28,200.0,76.2515683960893,51.90945669511663,42.97294306844304,42.60577653706263,55.545266847319816,44.61903648412746,37.60119712501573,Partial connectivity,Moderate safety risk,Critical employment gap,Socio-economic barrier (moderate),55.313787567406855,Partial connectivity
Jaipur (Rajasthan),Jaipur Outskirts / SEZ,Jaipur,Peri-urban Industrial,0.62,180.0,33.398305390588064,31.64802849430976,31.240292928082567,22.33433714702996,30.53727543443423,26.52076252716178,22.410060499386375,Moderate desert,High safety risk,Critical employment gap,Women exclusion gap (severe),34.47497711645142,Moderate desert
Jaipur (Rajasthan),Amber-Chomu Corridor,Jaipur,Peri-urban Rural,0.56,87.0,15.241574594054523,12.745930958225799,14.280559364642777,7.480266112235547,12.843992838059123,6.826846839305747,6.532710926156514,Severe desert,High safety risk,Critical employment gap,Infrastructure gap (severe),14.825116711584736,Severe desert
Indore (MP),Indore City Core (IMC),Indore,Municipal Corporation,2.42,260.0,68.92437598756648,65.20715311275362,58.55414710748408,62.17065066917491,64.60715242716842,52.07997854264377,55.948445313588095,Near-connected,Moderate safety risk,Moderate employment gap,Socio-economic barrier (moderate),63.007178921105016,Near-connected
