service_provider,total_wireless_subscribers_million,rural_wireless_subscribers_million,rural_subscriber_share_percent,rural_market_share_percent
1,Andhra Pradesh,79.64,72.16,91.97
2,Arunachal Pradesh,79.14,71.47,100.84
3,Assam,72.78,56.54,159.21
4,Bihar,55.10,44.52,129.51
5,Chhattisgarh,69.07,47.20,125.90
6,Goa,152.26,182.43,143.73
7,Gujarat,88.49,66.51,110.70
8,Haryana,115.30,70.69,173.68
9,Himachal Pradesh,117.99,85.83,396.37
10,Jharkhand,61.24,47.23,100.02
11,Karnataka,100.25,69.68,136.99
12,Kerala,114.70,,
13,Madhya Pradesh,67.23,44.48,122.34
14,Maharashtra,96.00,63.28,129.92
15,Manipur,74.56,46.72,131.12
16,Meghalaya,77.18,63.15,130.82
17,Mizoram,109.34,96.05,119.99
18,Nagaland,74.98,77.81,72.01
19,Odisha,78.78,64.59,138.15
20,Punjab,104.51,65.18,157.54
21,Rajasthan,78.46,58.62,132.35
22,Sikkim,111.61,148.94,78.91
23,Tamil Nadu,99.00,67.20,125.43
24,Telangana,104.74,84.54,125.40
25,Tripura,77.64,71.48,86.32
26,Uttar Pradesh,68.82,49.46,129.04
27,Uttarakhand,102.34,84.00,133.73
28,West Bengal,78.67,57.31,114.02
Union Territories,Union Territories,,,
1,Andaman & Nicobar Islands,122.51,111.64,135.66
2,Chandigarh,145.17,,
3,Dadra and Nagar Haveli and Daman and Diu,64.19,136.14,49.91
4,Delhi,159.12,,
5,Jammu & Kashmir,85.26,61.59,137.77
6,Ladakh,175.04,151.25,224.89
7,Lakshdweep,96.69,,
8,Puduchery,67.95,73.43,65.66
All India Tele-density,All India Tele-density,82.42,58.67,124.83
