service_area,subscribers_million_mar_2024,subscribers_million_mar_2025,yearly_net_additions_million,yearly_growth_rate_percent
Andhra Pradesh,87.45,86.97,-0.48,-0.55%
Assam,26.70,26.87,0.16,0.61%
Bihar,96.45,97.91,1.46,1.51%
Delhi,61.13,61.17,0.03,0.05%
Gujarat,67.55,67.69,0.13,0.20%
Haryana,27.22,27.06,-0.16,-0.59%
Himachal Pradesh,8.97,9.08,0.11,1.28%
Jammu & Kashmir,12.48,12.72,0.24,1.89%
Karnataka,70.33,72.42,2.09,2.98%
Kerala,43.80,43.19,-0.61,-1.39%
Madhya Pradesh,81.25,82.96,1.71,2.10%
Maharashtra,94.87,93.17,-1.70,-1.79%
Mumbai,37.89,37.89,0.00,0.00%
North East,12.81,12.99,0.18,1.37%
Odisha,34.20,35.65,1.45,4.24%
Punjab,36.81,36.21,-0.59,-1.61%
Rajasthan,67.35,66.14,-1.21,-1.79%
Tamil Nadu,81.34,80.86,-0.48,-0.59%
U.P.(E),103.06,104.00,0.93,0.91%
U.P.(W),64.53,64.20,-0.33,-0.51%
Kolkata,24.68,23.74,-0.93,-3.78%
West Bengal,58.41,57.93,-0.49,-0.84%
All India,"1,199.28","1,200.80",1.51,0.13%
