service_area,subscribers_total_mar_2025,subscribers_rural_mar_2025,subscribers_urban_mar_2025,rural_subscriber_share_percent
Andhra Pradesh,86.97,41.28,45.69,47.47%
Assam,26.87,17.36,9.51,64.60%
Bihar,97.91,65.04,32.87,66.43%
Delhi,61.17,2.04,59.13,3.33%
Gujarat,67.69,25.02,42.67,36.97%
Haryana,27.06,12.04,15.01,44.52%
Himachal Pradesh,9.08,5.88,3.20,64.77%
Jammu & Kashmir,12.72,6.20,6.52,48.72%
Karnataka,72.42,26.31,46.11,36.33%
Kerala,43.19,18.80,24.39,43.53%
Madhya Pradesh,82.96,38.55,44.40,46.47%
Maharashtra,93.17,40.70,52.47,43.68%
Mumbai,37.89,1.45,36.44,3.83%
North East,12.99,6.84,6.15,52.68%
Orissa,35.65,23.29,12.36,65.34%
Punjab,36.21,12.03,24.18,33.23%
Rajasthan,66.14,35.56,30.58,53.77%
Tamil Nadu,80.86,24.19,56.67,29.92%
U.P.(E),104.00,64.38,39.61,61.91%
U.P.(W),64.20,31.09,33.11,48.42%
Kolkata,23.74,1.58,22.16,6.67%
West Bengal,57.93,35.04,22.89,60.49%
All India,"1,200.80",534.69,666.11,44.53%
