service_area,rural_teledensity_percent_mar_2024,urban_teledensity_percent_mar_2024,total_teledensity_percent_mar_2024,rural_teledensity_percent_mar_2025,urban_teledensity_percent_mar_2025,total_teledensity_percent_mar_2025
Andhra Pradesh,78.86,118.35,95.43,78.21,116.49,94.53
Assam,56.15,170.02,74.02,56.62,165.16,73.79
Bihar,45.17,121.62,57.16,45.14,121.76,57.23
Delhi,,,280.62,,,275.79
Gujarat,69.27,113.91,91.53,67.50,113.22,90.55
Haryana,69.78,114.61,88.93,68.61,111.93,87.38
Himachal Pradesh,85.78,411.14,119.43,86.96,409.45,120.37
J&K,61.97,149.86,89.08,63.74,148.60,90.13
Karnataka,67.91,146.45,103.20,70.29,148.09,105.62
Kerala,,,121.65,,,119.49
Madhya Pradesh,44.29,129.44,68.71,45.30,128.67,69.35
Maharashtra (incl. Mumbai)*,65.79,141.26,102.89,64.13,138.30,100.81
North East,64.45,110.00,80.55,66.58,106.46,80.92
Orissa,62.18,139.61,76.97,64.76,143.79,80.00
Punjab,68.76,171.34,114.36,67.31,166.58,111.79
Rajasthan,59.88,143.11,82.16,58.73,137.16,79.83
Tamil Nadu,68.30,132.37,103.23,67.93,130.42,102.27
Uttar Pradesh (incl. UPE & UPW),50.58,117.00,67.03,50.35,115.58,66.60
West Bengal (incl. Kolkata)*,58.65,122.50,82.51,58.19,117.77,80.71
All India,59.19,133.72,85.69,59.06,131.45,85.04
