service_area,wireless_subscribers_total_mar_2025,wireless_subscribers_rural_mar_2025,wireless_subscribers_urban_mar_2025,wireless_rural_subscriber_share_percent
Andhra Pradesh,83.83,82.93,-0.90,-1.07%
Assam,26.37,26.49,0.12,0.47%
Bihar,95.48,96.75,1.27,1.33%
Delhi,56.70,56.45,-0.25,-0.44%
Gujarat,65.97,65.80,-0.17,-0.26%
Haryana,26.62,26.33,-0.30,-1.11%
Himachal Pradesh,8.80,8.90,0.10,1.16%
Jammu & Kashmir,12.08,12.30,0.23,1.87%
Karnataka,66.91,68.74,1.84,2.74%
Kerala,42.26,41.44,-0.81,-1.92%
Madhya Pradesh,79.50,80.99,1.49,1.87%
Maharashtra,93.25,91.33,-1.91,-2.05%
Mumbai,34.36,34.36,0.01,0.02%
North East,12.55,12.72,0.17,1.33%
Odisha,33.71,35.10,1.40,4.14%
Punjab,35.14,34.45,-0.69,-1.95%
Rajasthan,66.33,65.00,-1.34,-2.02%
Tamil Nadu,78.44,77.73,-0.70,-0.89%
U.P.(E),102.12,102.88,0.76,0.75%
U.P.(W),63.54,63.04,-0.50,-0.78%
Kolkata,23.67,22.66,-1.00,-4.24%
West Bengal,57.90,57.35,-0.55,-0.95%
All India,"1,165.49","1,163.76",-1.74,-0.15%
