service_area,wireless_rural_teledensity_percent_mar_2024,wireless_urban_teledensity_percent_mar_2024,wireless_total_teledensity_percent_mar_2024,wireless_rural_teledensity_percent_mar_2025
Andhra Pradesh,82.93,40.50,42.43,48.84%
Assam,26.49,17.33,9.16,65.43%
Bihar,96.75,64.96,31.79,67.14%
Delhi,56.45,2.04,54.41,3.61%
Gujarat,65.80,24.82,40.98,37.72%
Haryana,26.33,11.87,14.45,45.10%
Himachal Pradesh,8.90,5.81,3.10,65.21%
Jammu & Kashmir,12.30,6.17,6.13,50.16%
Karnataka,68.74,26.09,42.66,37.95%
Kerala,41.44,18.17,23.27,43.85%
Madhya Pradesh,80.99,38.46,42.53,47.49%
Maharashtra,91.33,40.55,50.78,44.40%
Mumbai,34.36,1.45,32.91,4.22%
North East,12.72,6.79,5.93,53.37%
Odisha,35.10,23.23,11.87,66.18%
Punjab,34.45,11.69,22.77,33.92%
Rajasthan,65.00,35.49,29.50,54.61%
Tamil Nadu,77.73,23.96,53.77,30.83%
U.P.(E),102.88,64.30,38.58,62.50%
U.P.(W),63.04,31.01,32.03,49.18%
Kolkata,22.66,1.58,21.08,6.97%
West Bengal,57.35,34.91,22.44,60.87%
All India,"1,163.76",531.18,632.57,45.64%
