service_provider,subscriber_base_million_mar_2024,subscriber_base_million_mar_2025,yearly_net_addition_or_decline_million,growth_rate_percent,market_share_percent_mar_2024,market_share_percent_mar_2025
Reliance Jio,481.77,488.19,6.43,1.33%,40.17%,40.66%
Bharti Airtel,394.54,401.14,6.60,1.67%,32.90%,33.41%
Vodafone Idea,220.60,206.19,-14.41,-6.53%,18.39%,17.17%
BSNL,94.75,98.74,4.00,4.22%,7.90%,8.22%
MTNL,4.10,3.01,-1.10,-26.70%,0.34%,0.25%
Tata Tele.,2.29,2.38,0.10,4.22%,0.19%,0.20%
Quadrant,0.41,0.35,-0.07,-15.89%,0.03%,0.03%
Reliance Com.,0.13,0.11,-0.02,-14.94%,0.01%,0.01%
STPL,0.05,0.05,0.00,1.32%,0.00%,0.00%
APSFL,0.64,0.63,-0.01,-2.19%,0.05%,0.05%
Total,"1,199.28","1,200.80",1.51,0.13%,100%,100%
