serial_no,state_ut,total_telephone_subscription,rural_telephone_subscription,urban_telephone_subscription
1,Andhra Pradesh,45.15,24.74,20.41
2,Arunachal Pradesh,1.27,0.85,0.43
3,Assam,26.87,17.36,9.52
4,Bihar,72.73,50.96,21.76
5,Chhattisgarh,21.65,10.55,11.10
6,Goa,2.50,0.66,1.84
7,Gujarat,66.75,24.69,42.05
8,Haryana,36.59,12.58,24.01
9,Himachal Pradesh,9.08,5.88,3.20
10,Jharkhand,25.19,14.08,11.11
11,Karnataka,72.42,26.31,46.11
12,Kerala,43.11,18.78,24.34
13,Madhya Pradesh,61.31,28.00,33.31
14,Maharashtra Incl. Mumbai,128.56,41.49,87.07
15,Manipur,2.52,1.05,1.47
16,Meghalaya,2.70,1.72,0.98
17,Mizoram,1.42,0.54,0.88
18,Nagaland,1.74,0.92,0.83
19,Odisha,35.65,23.29,12.36
20,Punjab,34.18,11.99,22.18
21,Rajasthan,66.14,35.56,30.58
22,Sikkim,0.79,0.49,0.30
23,Tamil Nadu,79.63,23.80,55.82
24,Telangana,41.82,16.55,25.27
25,Tripura,3.33,1.77,1.56
26,Uttar Pradesh (UPE + UPW),167.85,90.20,77.65
27,Uttarakhand,12.52,6.34,6.18
28,West Bengal Incl. Kolkata,80.34,35.86,44.48
Union Territories,Union Territories,,,
1,Andaman & Nicobar Islands,0.53,0.27,0.27
2,Chandigarh,1.95,0.03,1.92
3,Dadra and Nagar Haveli and Daman and Diu,0.94,0.33,0.61
4,Delhi,39.55,0.43,39.12
5,Jammu & Kashmir,12.18,5.88,6.30
6,Ladakh,0.54,0.31,0.22
7,Lakshdweep,0.07,0.02,0.05
8,Puduchery,1.23,0.39,0.84
Total,Total,1200.80,534.69,666.11
