serial_no,state_ut,wireless_subscribers_total_million,wireless_subscribers_rural_million,wireless_subscribers_urban_million
A.P.,77.55,110.72,91.47,76.73
Assam,56.06,164.57,73.09,56.54
Bihar,45.11,118.24,56.58,45.08
Delhi,,,260.27,
Gujarat,69.08,109.79,89.38,66.96
Haryana,69.10,110.97,86.99,67.64
H.P.,85.03,396.22,117.21,85.83
J&K,61.79,140.93,86.20,63.49
Karnataka,67.67,135.58,98.18,69.68
Kerala,,,117.38,246.79
M.P.,44.20,124.48,67.23,45.19
Maharashtra (incl. Mumbai)*,65.56,133.36,98.90,63.92
North East,64.28,105.62,78.90,66.04
Odisha,62.07,134.32,75.86,64.59
Punjab,67.36,161.41,109.17,65.36
Rajasthan,59.77,138.79,80.92,58.62
Tamil Nadu,67.58,126.22,99.55,67.29
Uttar Pradesh (incl. UPE&UPW)*,50.53,114.03,66.25,50.26
West Bengal (incl. Kolkata)*,58.48,118.73,81.00,57.98
All India,58.87,127.51,83.27,58.67
