serial_no,state_ut,wireless_teledensity_total_percent,wireless_teledensity_rural_percent,wireless_teledensity_urban_percent
1,Andhra Pradesh,42.64,24.05,18.58
2,Arunachal Pradesh,1.26,0.84,0.42
3,Assam,26.50,17.33,9.17
4,Bihar,71.95,50.90,21.04
5,Chhattisgarh,21.34,10.53,10.81
6,Goa,2.42,0.64,1.78
7,Gujarat,64.86,24.49,40.37
8,Haryana,35.70,12.41,23.29
9,Himachal Pradesh,8.90,5.81,3.10
10,Jharkhand,24.80,14.06,10.75
11,Karnataka,68.74,26.09,42.66
12,Kerala,41.38,18.16,23.22
13,Madhya Pradesh,59.65,27.93,31.72
14,Maharashtra,123.27,41.36,81.91
15,Manipur,2.45,1.03,1.42
16,Meghalaya,2.63,1.71,0.93
17,Mizoram,1.38,0.54,0.84
18,Nagaland,1.71,0.91,0.80
19,Odisha,35.10,23.23,11.87
20,Punjab,32.54,11.65,20.89
21,Rajasthan,65.00,35.49,29.50
22,Sikkim,0.78,0.49,0.30
23,Tamil Nadu,76.56,23.59,52.97
24,Telangana,40.29,16.45,23.84
25,Tripura,3.28,1.77,1.52
26,Uttar Pradesh,165.62,90.08,75.54
27,Uttarakhand,12.16,6.30,5.86
28,West Bengal,78.73,35.75,42.98
Union Territories,Union Territories,,,
1,Andaman & Nicobar Islands,0.50,0.25,0.25
2,Chandigarh,1.82,0.03,1.80
3,Dadra and Nagar Haveli and Daman and Diu,0.93,0.33,0.61
4,Delhi,35.29,0.43,34.86
5,Jammu & Kashmir,11.77,5.86,5.91
6,Ladakh,0.53,0.31,0.22
7,Lakshdweep,0.07,0.02,0.05
8,Puduchery,1.17,0.37,0.80
Total,Total,1163.76,531.18,632.57
