country,statename,statecode,year,population,number_of_e_transactions,e_transactions_per_1000_population
India,Sikkim,11,2013,607688.0,33.0,0.1
India,Sikkim,11,2013,607688.0,352.0,0.6
India,Sikkim,11,2013,607688.0,649.0,1.1
India,Sikkim,11,2013,607688.0,834.0,1.4
India,Sikkim,11,2013,607688.0,863.0,1.4
India,Sikkim,11,2013,607688.0,2.0,0.0
India,Sikkim,11,2013,607688.0,928.0,1.5
India,Sikkim,11,2013,607688.0,845.0,1.4
India,Sikkim,11,2013,607688.0,908.0,1.5
India,Sikkim,11,2013,607688.0,909.0,1.5
India,Sikkim,11,2013,607688.0,1135.0,1.9
India,Sikkim,11,2013,607688.0,807.0,1.3
India,Sikkim,11,2013,607688.0,185.0,0.3
India,Sikkim,11,2013,607688.0,514.0,0.8
India,Sikkim,11,2013,607688.0,902.0,1.5
India,Sikkim,11,2013,607688.0,1116.0,1.8
India,Sikkim,11,2013,607688.0,1134.0,1.9
India,Sikkim,11,2013,607688.0,1553.0,2.6
India,Sikkim,11,2013,607688.0,1424.0,2.3
India,Sikkim,11,2013,607688.0,311.0,0.5
India,Sikkim,11,2013,607688.0,1335.0,2.2
India,Sikkim,11,2013,607688.0,1629.0,2.7
India,Sikkim,11,2013,607688.0,1722.0,2.8
India,Sikkim,11,2013,607688.0,1693.0,2.8
India,Sikkim,11,2013,607688.0,1859.0,3.1
India,Sikkim,11,2013,607688.0,1221.0,2.0
India,Sikkim,11,2013,607688.0,406.0,0.7
India,Sikkim,11,2013,607688.0,1102.0,1.8
India,Sikkim,11,2013,607688.0,1758.0,2.9
India,Sikkim,11,2013,607688.0,1719.0,2.8
India,Sikkim,11,2013,607688.0,2024.0,3.3
India,Sikkim,11,2013,607688.0,1665.0,2.7
India,Sikkim,11,2013,607688.0,1665.0,2.7
India,Sikkim,11,2013,607688.0,427.0,0.7
India,Sikkim,11,2013,607688.0,427.0,0.7
India,Sikkim,11,2013,607688.0,981.0,1.6
India,Sikkim,11,2013,607688.0,1477.0,2.4
India,Sikkim,11,2013,607688.0,1542.0,2.5
India,Sikkim,11,2013,607688.0,1468.0,2.4
India,Sikkim,11,2013,607688.0,1208.0,2.0
India,Sikkim,11,2013,607688.0,651.0,1.1
India,Sikkim,11,2013,607688.0,723.0,1.2
India,Sikkim,11,2013,607688.0,1122.0,1.8
India,Sikkim,11,2013,607688.0,1271.0,2.1
India,Sikkim,11,2013,607688.0,1416.0,2.3
India,Sikkim,11,2013,607688.0,1543.0,2.5
India,Sikkim,11,2013,607688.0,1284.0,2.1
India,Sikkim,11,2013,607688.0,438.0,0.7
India,Sikkim,11,2013,607688.0,1475.0,2.4
India,Sikkim,11,2013,607688.0,1211.0,2.0
India,Sikkim,11,2013,607688.0,635.0,1.0
India,Sikkim,11,2013,607688.0,1130.0,1.9
India,Sikkim,11,2013,607688.0,990.0,1.6
India,Sikkim,11,2013,607688.0,1007.0,1.7
India,Sikkim,11,2013,607688.0,611.0,1.0
India,Sikkim,11,2013,607688.0,1056.0,1.7
India,Sikkim,11,2013,607688.0,1591.0,2.6
India,Sikkim,11,2013,607688.0,1367.0,2.2
India,Sikkim,11,2013,607688.0,1265.0,2.1
India,Sikkim,11,2013,607688.0,1209.0,2.0
India,Sikkim,11,2013,607688.0,899.0,1.5
India,Sikkim,11,2013,607688.0,407.0,0.7
India,Sikkim,11,2013,607688.0,1297.0,2.1
India,Sikkim,11,2013,607688.0,1313.0,2.2
India,Sikkim,11,2013,607688.0,1342.0,2.2
India,Sikkim,11,2013,607688.0,1211.0,2.0
India,Sikkim,11,2013,607688.0,1149.0,1.9
India,Sikkim,11,2013,607688.0,392.0,0.6
India,Sikkim,11,2013,607688.0,675.0,1.1
India,Sikkim,11,2013,607688.0,1204.0,2.0
India,Sikkim,11,2013,607688.0,1107.0,1.8
India,Sikkim,11,2013,607688.0,1327.0,2.2
India,Sikkim,11,2013,607688.0,952.0,1.6
India,Sikkim,11,2013,607688.0,1331.0,2.2
India,Sikkim,11,2013,607688.0,987.0,1.6
India,Sikkim,11,2013,607688.0,465.0,0.8
India,Sikkim,11,2013,607688.0,1021.0,1.7
India,Sikkim,11,2013,607688.0,1557.0,2.6
India,Sikkim,11,2013,607688.0,1369.0,2.3
India,Sikkim,11,2013,607688.0,1433.0,2.4
India,Sikkim,11,2013,607688.0,900.0,1.5
India,Sikkim,11,2013,607688.0,1238.0,2.0
India,Sikkim,11,2013,607688.0,306.0,0.5
India,Sikkim,11,2013,607688.0,813.0,1.3
India,Sikkim,11,2013,607688.0,1277.0,2.1
India,Sikkim,11,2013,607688.0,713.0,1.2
India,Sikkim,11,2013,607688.0,1508.0,2.5
India,Sikkim,11,2013,607688.0,1104.0,1.8
India,Sikkim,11,2013,607688.0,1067.0,1.8
India,Sikkim,11,2013,607688.0,414.0,0.7
India,Sikkim,11,2013,607688.0,799.0,1.3
India,Sikkim,11,2013,607688.0,578.0,1.0
India,Sikkim,11,2013,607688.0,572.0,0.9
India,Sikkim,11,2013,607688.0,486.0,0.8
India,Sikkim,11,2013,607688.0,1114.0,1.8
India,Sikkim,11,2013,607688.0,1132.0,1.9
India,Sikkim,11,2013,607688.0,618.0,1.0
India,Sikkim,11,2013,607688.0,939.0,1.5
India,Sikkim,11,2013,607688.0,608.0,1.0
India,Sikkim,11,2013,607688.0,426.0,0.7
India,Sikkim,11,2013,607688.0,668.0,1.1
India,Sikkim,11,2013,607688.0,292.0,0.5
India,Sikkim,11,2013,607688.0,78.0,0.1
India,Sikkim,11,2013,607688.0,265.0,0.4
India,Sikkim,11,2013,607688.0,97.0,0.2
India,Sikkim,11,2013,607688.0,167.0,0.3
India,Sikkim,11,2013,607688.0,250.0,0.4
India,Sikkim,11,2013,607688.0,73.0,0.1
India,Sikkim,11,2013,607688.0,126.0,0.2
India,Sikkim,11,2013,607688.0,24.0,0.0
India,Sikkim,11,2013,607688.0,239.0,0.4
India,Sikkim,11,2013,607688.0,290.0,0.5
India,Sikkim,11,2013,607688.0,327.0,0.5
India,Sikkim,11,2013,607688.0,398.0,0.7
India,Sikkim,11,2013,607688.0,291.0,0.5
India,Sikkim,11,2013,607688.0,151.0,0.2
India,Sikkim,11,2013,607688.0,30.0,0.0
India,Sikkim,11,2013,607688.0,255.0,0.4
India,Sikkim,11,2013,607688.0,284.0,0.5
India,Sikkim,11,2013,607688.0,178.0,0.3
India,Sikkim,11,2013,607688.0,111.0,0.2
India,Sikkim,11,2013,607688.0,244.0,0.4
India,Sikkim,11,2013,607688.0,342.0,0.6
India,Sikkim,11,2013,607688.0,42.0,0.1
India,Sikkim,11,2013,607688.0,237.0,0.4
India,Sikkim,11,2013,607688.0,108.0,0.2
India,Sikkim,11,2013,607688.0,225.0,0.4
India,Sikkim,11,2013,607688.0,208.0,0.3
India,Sikkim,11,2013,607688.0,218.0,0.4
India,Sikkim,11,2013,607688.0,1.0,0.0
India,Sikkim,11,2013,607688.0,9.0,0.0
India,Sikkim,11,2013,607688.0,162.0,0.3
India,Sikkim,11,2013,607688.0,300.0,0.5
India,Sikkim,11,2013,607688.0,150.0,0.2
India,Sikkim,11,2013,607688.0,68.0,0.1
India,Sikkim,11,2013,607688.0,168.0,0.3
India,Sikkim,11,2013,607688.0,168.0,0.3
India,Sikkim,11,2013,607688.0,15.0,0.0
India,Sikkim,11,2013,607688.0,122.0,0.2
India,Sikkim,11,2013,607688.0,140.0,0.2
India,Sikkim,11,2013,607688.0,58.0,0.1
India,Sikkim,11,2013,607688.0,245.0,0.4
India,Sikkim,11,2013,607688.0,245.0,0.4
India,Sikkim,11,2013,607688.0,158.0,0.3
India,Sikkim,11,2013,607688.0,101.0,0.2
India,Sikkim,11,2013,607688.0,81.0,0.1
India,Sikkim,11,2013,607688.0,111.0,0.2
India,Sikkim,11,2013,607688.0,249.0,0.4
India,Sikkim,11,2013,607688.0,141.0,0.2
India,Sikkim,11,2013,607688.0,217.0,0.4
India,Sikkim,11,2013,607688.0,154.0,0.3
India,Sikkim,11,2013,607688.0,90.0,0.1
India,Sikkim,11,2013,607688.0,116.0,0.2
India,Sikkim,11,2013,607688.0,66.0,0.1
India,Sikkim,11,2013,607688.0,131.0,0.2
India,Sikkim,11,2013,607688.0,122.0,0.2
India,Sikkim,11,2013,607688.0,127.0,0.2
India,Sikkim,11,2013,607688.0,67.0,0.1
India,Sikkim,11,2013,607688.0,95.0,0.2
India,Sikkim,11,2013,607688.0,169.0,0.3
India,Sikkim,11,2013,607688.0,211.0,0.3
India,Sikkim,11,2013,607688.0,156.0,0.3
India,Sikkim,11,2013,607688.0,184.0,0.3
India,Sikkim,11,2013,607688.0,157.0,0.3
India,Sikkim,11,2013,607688.0,273.0,0.4
India,Sikkim,11,2013,607688.0,54.0,0.1
India,Sikkim,11,2013,607688.0,148.0,0.2
India,Sikkim,11,2013,607688.0,162.0,0.3
India,Sikkim,11,2013,607688.0,157.0,0.3
India,Sikkim,11,2013,607688.0,112.0,0.2
India,Sikkim,11,2013,607688.0,117.0,0.2
India,Sikkim,11,2013,607688.0,43.0,0.1
India,Sikkim,11,2013,607688.0,6.0,0.0
India,Sikkim,11,2013,607688.0,50.0,0.1
India,Sikkim,11,2013,607688.0,102.0,0.2
India,Sikkim,11,2013,607688.0,90.0,0.1
India,Sikkim,11,2013,607688.0,69.0,0.1
India,Sikkim,11,2013,607688.0,113.0,0.2
India,Sikkim,11,2013,607688.0,52.0,0.1
India,Sikkim,11,2013,607688.0,25.0,0.0
India,Sikkim,11,2013,607688.0,224.0,0.4
India,Sikkim,11,2013,607688.0,108.0,0.2
India,Sikkim,11,2013,607688.0,155.0,0.3
India,Sikkim,11,2013,607688.0,236.0,0.4
India,Sikkim,11,2013,607688.0,255.0,0.4
India,Sikkim,11,2013,607688.0,200.0,0.3
India,Sikkim,11,2013,607688.0,200.0,0.3
India,Sikkim,11,2013,607688.0,238.0,0.4
India,Sikkim,11,2013,607688.0,186.0,0.3
India,Sikkim,11,2013,607688.0,228.0,0.4
India,Sikkim,11,2013,607688.0,228.0,0.4
India,Sikkim,11,2013,607688.0,119.0,0.2
India,Sikkim,11,2013,607688.0,10.0,0.0
India,Sikkim,11,2013,607688.0,4.0,0.0
India,Sikkim,11,2013,607688.0,163.0,0.3
India,Sikkim,11,2013,607688.0,205.0,0.3
India,Sikkim,11,2013,607688.0,140.0,0.2
India,Sikkim,11,2013,607688.0,97.0,0.2
India,Sikkim,11,2013,607688.0,99.0,0.2
India,Sikkim,11,2013,607688.0,108.0,0.2
India,Sikkim,11,2013,607688.0,10.0,0.0
India,Sikkim,11,2013,607688.0,92.0,0.2
India,Sikkim,11,2013,607688.0,96.0,0.2
India,Sikkim,11,2013,607688.0,98.0,0.2
India,Sikkim,11,2013,607688.0,153.0,0.3
India,Sikkim,11,2013,607688.0,203.0,0.3
India,Sikkim,11,2013,607688.0,89.0,0.1
India,Sikkim,11,2013,607688.0,22.0,0.0
India,Sikkim,11,2013,607688.0,131.0,0.2
India,Sikkim,11,2013,607688.0,101.0,0.2
India,Sikkim,11,2013,607688.0,90.0,0.1
India,Sikkim,11,2013,607688.0,107.0,0.2
India,Sikkim,11,2013,607688.0,56.0,0.1
India,Sikkim,11,2013,607688.0,144.0,0.2
India,Sikkim,11,2013,607688.0,23.0,0.0
India,Sikkim,11,2013,607688.0,58.0,0.1
India,Sikkim,11,2013,607688.0,73.0,0.1
India,Sikkim,11,2013,607688.0,43.0,0.1
India,Sikkim,11,2013,607688.0,18.0,0.0
India,Sikkim,11,2013,607688.0,18.0,0.0
India,Sikkim,11,2013,607688.0,13.0,0.0
India,Sikkim,11,2013,607688.0,28.0,0.0
India,Sikkim,11,2013,607688.0,61.0,0.1
India,Sikkim,11,2013,607688.0,58.0,0.1
India,Sikkim,11,2013,607688.0,153.0,0.3
India,Sikkim,11,2013,607688.0,2.0,0.0
India,Sikkim,11,2013,607688.0,91.0,0.1
India,Sikkim,11,2013,607688.0,63.0,0.1
India,Sikkim,11,2013,607688.0,9.0,0.0
India,Sikkim,11,2013,607688.0,117.0,0.2
India,Sikkim,11,2013,607688.0,89.0,0.1
India,Sikkim,11,2013,607688.0,13.0,0.0
India,Sikkim,11,2013,607688.0,135.0,0.2
India,Sikkim,11,2013,607688.0,153.0,0.3
India,Sikkim,11,2013,607688.0,3835.0,6.3
India,Sikkim,11,2013,607688.0,87.0,0.1
India,Sikkim,11,2013,607688.0,64.0,0.1
India,Sikkim,11,2013,607688.0,120.0,0.2
India,Sikkim,11,2013,607688.0,73.0,0.1
India,Sikkim,11,2013,607688.0,192.0,0.3
India,Sikkim,11,2013,607688.0,220.0,0.4
India,Sikkim,11,2013,607688.0,146.0,0.2
India,Sikkim,11,2013,607688.0,60.0,0.1
India,Sikkim,11,2013,607688.0,156.0,0.3
India,Sikkim,11,2013,607688.0,186.0,0.3
India,Sikkim,11,2013,607688.0,94.0,0.2
India,Sikkim,11,2013,607688.0,177.0,0.3
India,Sikkim,11,2013,607688.0,169.0,0.3
India,Sikkim,11,2013,607688.0,113.0,0.2
India,Sikkim,11,2013,607688.0,23.0,0.0
India,Sikkim,11,2013,607688.0,186.0,0.3
India,Sikkim,11,2013,607688.0,236.0,0.4
India,Sikkim,11,2013,607688.0,63.0,0.1
India,Sikkim,11,2013,607688.0,133.0,0.2
India,Sikkim,11,2013,607688.0,97.0,0.2
India,Sikkim,11,2013,607688.0,7.0,0.0
India,Sikkim,11,2013,607688.0,4.0,0.0
India,Sikkim,11,2013,607688.0,137.0,0.2
India,Sikkim,11,2013,607688.0,29.0,0.0
India,Sikkim,11,2013,607688.0,15.0,0.0
India,Sikkim,11,2013,607688.0,100.0,0.2
India,Sikkim,11,2013,607688.0,135.0,0.2
India,Sikkim,11,2013,607688.0,69.0,0.1
India,Sikkim,11,2013,607688.0,38.0,0.1
India,Sikkim,11,2013,607688.0,88.0,0.1
India,Sikkim,11,2013,607688.0,128.0,0.2
India,Sikkim,11,2013,607688.0,81.0,0.1
India,Sikkim,11,2013,607688.0,70.0,0.1
India,Sikkim,11,2013,607688.0,102.0,0.2
India,Sikkim,11,2013,607688.0,175.0,0.3
India,Sikkim,11,2013,607688.0,29.0,0.0
India,Sikkim,11,2013,607688.0,62.0,0.1
India,Sikkim,11,2013,607688.0,95.0,0.2
India,Sikkim,11,2013,607688.0,34.0,0.1
India,Sikkim,11,2013,607688.0,74.0,0.1
India,Sikkim,11,2013,607688.0,150.0,0.2
India,Sikkim,11,2013,607688.0,95.0,0.2
India,Sikkim,11,2013,607688.0,34.0,0.1
India,Sikkim,11,2013,607688.0,116.0,0.2
India,Sikkim,11,2013,607688.0,96.0,0.2
India,Sikkim,11,2013,607688.0,125.0,0.2
India,Sikkim,11,2013,607688.0,91.0,0.1
India,Sikkim,11,2013,607688.0,45.0,0.1
India,Sikkim,11,2013,607688.0,2.0,0.0
India,Sikkim,11,2013,607688.0,2.0,0.0
India,Sikkim,11,2013,607688.0,15.0,0.0
India,Sikkim,11,2013,607688.0,21.0,0.0
India,Sikkim,11,2013,607688.0,114.0,0.2
India,Sikkim,11,2013,607688.0,96.0,0.2
