country,statename,statecode,year,female_population,sex_ratio,illiteracy_percent,women_headed_households,maternal_mortality_rate,crime_against_women,dependent_women_percent,gender_vulnerability_index
India,Jammu and Kashmir,1,2019,5783095.844476685,869.5547785836,41.0715468535,9.4185632517,123.2439843662,43.1234945967,79.2786244983,5.4286040733
India,Himachal Pradesh,2,2019,3382729.0,972.0,23.4,20.58,126.0,30.0,55.18,3.5
India,Punjab,3,2019,13103873.0,895.0,28.66,14.94,155.0,23.0,86.09,5.28
India,Chandigarh,4,2019,474787.0,818.0,18.62,9.96,126.0,50.0,84.0,4.07
India,Uttarakhand,5,2019,4948519.0,963.0,29.3,19.09,292.0,22.0,73.32,4.63
India,Haryana,6,2019,11856728.0,879.0,33.23,11.65,146.0,48.0,82.21,5.83
India,Delhi,7,2019,7800615.0,868.0,19.07,11.49,126.0,81.0,89.42,5.29
India,Rajasthan,8,2019,32997440.0,928.0,47.34,9.26,255.0,54.0,64.88,7.48
India,Uttar Pradesh,9,2019,95331831.0,912.0,40.74,11.98,292.0,24.0,83.25,8.39
India,Bihar,10,2019,49821295.0,918.0,46.67,10.44,219.0,18.0,80.93,6.56
India,Sikkim,11,2019,287507.0,890.0,23.57,12.94,126.0,19.0,60.43,4.48
India,Arunachal Pradesh,12,2019,669815.0,938.0,40.43,12.98,126.0,30.0,64.56,4.46
India,Nagaland,13,2019,953853.0,931.0,23.11,13.49,126.0,5.0,55.26,3.88
India,Manipur,14,2019,1417208.0,985.0,26.83,14.94,126.0,15.0,61.44,3.52
India,Mizoram,15,2019,541867.0,976.0,10.6,16.63,126.0,29.0,63.84,3.18
India,Tripura,16,2019,1799541.0,960.0,16.85,14.1,126.0,63.0,76.43,3.85
India,Meghalaya,17,2019,1475057.0,989.0,26.22,23.14,126.0,14.0,67.33,3.46
India,Assam,18,2019,15266133.0,958.0,32.73,13.32,323.0,67.0,77.54,6.29
India,West Bengal,19,2019,44467088.0,950.0,29.84,12.83,117.0,46.0,81.92,6.73
India,Jharkhand,20,2019,16057819.0,948.0,43.79,10.9,219.0,23.0,70.9,5.38
India,Odisha,21,2019,20762082.0,979.0,35.64,12.47,235.0,43.0,72.84,5.57
India,Chhattisgarh,22,2019,12712303.0,991.0,39.41,13.0,230.0,34.0,60.3,4.8
India,Madhya Pradesh,23,2019,35014503.0,931.0,39.98,9.96,230.0,49.0,67.36,7.12
India,Gujarat,24,2019,28948432.0,919.0,29.27,10.08,122.0,27.0,76.62,5.46
India,Maharashtra,27,2019,54131277.0,929.0,24.52,12.84,155.0,31.0,68.94,6.28
India,Andhra Pradesh,28,2019,24648731.0,996.0,40.41,15.08,110.0,91.0,64.86,5.38
India,Karnataka,29,2019,30128640.0,973.0,31.87,16.98,144.0,28.0,68.13,4.93
India,Goa,30,2019,719405.0,973.0,18.16,23.16,126.0,26.0,78.08,3.51
India,Lakshadweep,31,2019,31350.0,946.0,11.75,38.41,126.0,8.0,89.04,1.87
India,Kerala,32,2019,17378649.0,1084.0,8.02,25.24,66.0,48.0,81.77,2.95
India,Tamil Nadu,33,2019,36009055.0,996.0,26.14,16.0,90.0,21.0,68.2,4.25
India,Puducherry,34,2019,635442.0,1037.0,18.78,15.06,126.0,18.0,82.37,2.83
India,Andaman and Nicobar Islands,35,2019,177710.0,876.0,18.16,13.76,126.0,35.0,82.19,3.57
India,Telangana,36,2019,17489900.0,988.0,42.47,14.57,110.0,84.0,60.67,4.99
India,Ladakh,37,2019,117544.1555233149,19.4452214164,0.9184531465,0.1914367483,2.7560156338,0.8765054033,1.6113755017,0.1213959267
India,The Dadra and Nagar Haveli and Daman and Diu,38,2019,242895.0,1392.0,54.48,17.84,252.0,28.0,159.86,9.99
