country,statename,statecode,districtname,districtcode,year,male,female,others,unidentified,total
India,Delhi,7,East,78,2026,90634.0,23113.0,1984.0,138.0,115869.0
India,Delhi,7,Shahdara,671,2026,18029.0,5227.0,272.0,9.0,23537.0
India,Jammu and Kashmir,1,Anantnag,1,2026,44396.0,12201.0,182.0,7.0,56786.0
India,Jammu and Kashmir,1,Budgam,2,2026,36726.0,14164.0,169.0,0.0,51059.0
India,Jammu and Kashmir,1,Baramulla,3,2026,40502.0,12113.0,187.0,1.0,52803.0
India,Jammu and Kashmir,1,Doda,4,2026,11822.0,4459.0,31.0,0.0,16312.0
India,Jammu and Kashmir,1,Jammu,5,2026,65374.0,21315.0,258.0,18.0,86965.0
India,Jammu and Kashmir,1,Kathua,7,2026,19834.0,6814.0,63.0,6.0,26717.0
India,Jammu and Kashmir,1,Kupwara,8,2026,24489.0,6416.0,76.0,0.0,30981.0
India,Jammu and Kashmir,1,Poonch,10,2026,9468.0,3397.0,25.0,1.0,12891.0
India,Jammu and Kashmir,1,Pulwama,11,2026,29092.0,7650.0,133.0,1.0,36876.0
India,Jammu and Kashmir,1,Rajouri,12,2026,13577.0,4071.0,26.0,0.0,17674.0
India,Jammu and Kashmir,1,Srinagar,13,2026,71562.0,20994.0,559.0,13.0,93128.0
India,Jammu and Kashmir,1,Udhampur,14,2026,14244.0,3733.0,26.0,4.0,18007.0
India,Jammu and Kashmir,1,Kishtwar,620,2026,6818.0,2397.0,27.0,0.0,9242.0
India,Jammu and Kashmir,1,Ramban,621,2026,9930.0,2203.0,21.0,0.0,12154.0
India,Jammu and Kashmir,1,Kulgam,622,2026,17688.0,4141.0,57.0,0.0,21886.0
India,Jammu and Kashmir,1,Bandipora,623,2026,13999.0,5071.0,25.0,0.0,19095.0
India,Jammu and Kashmir,1,Samba,624,2026,12029.0,4816.0,41.0,6.0,16892.0
India,Jammu and Kashmir,1,Shopian,625,2026,13269.0,2615.0,64.0,0.0,15948.0
India,Jammu and Kashmir,1,Ganderbal,626,2026,17410.0,9118.0,54.0,0.0,26582.0
India,Jammu and Kashmir,1,Reasi,627,2026,8830.0,2554.0,23.0,2.0,11409.0
India,Himachal Pradesh,2,Bilaspur,15,2026,10813.0,3091.0,41.0,0.0,13945.0
India,Himachal Pradesh,2,Chamba,16,2026,10207.0,2518.0,44.0,2.0,12771.0
India,Himachal Pradesh,2,Hamirpur,17,2026,12487.0,3783.0,48.0,2.0,16320.0
India,Himachal Pradesh,2,Kangra,18,2026,36271.0,9137.0,226.0,6.0,45640.0
India,Himachal Pradesh,2,Kinnaur,19,2026,2944.0,1134.0,4.0,0.0,4082.0
India,Himachal Pradesh,2,Kullu,20,2026,18198.0,8168.0,127.0,6.0,26499.0
India,Himachal Pradesh,2,Lahul and Spiti,21,2026,949.0,268.0,3.0,0.0,1220.0
India,Himachal Pradesh,2,Mandi,22,2026,26835.0,7148.0,137.0,4.0,34124.0
India,Himachal Pradesh,2,Shimla,23,2026,29172.0,8091.0,207.0,10.0,37480.0
India,Himachal Pradesh,2,Sirmaur,24,2026,14808.0,5514.0,94.0,4.0,20420.0
India,Himachal Pradesh,2,Solan,25,2026,35217.0,9120.0,363.0,25.0,44725.0
India,Himachal Pradesh,2,Una,26,2026,15524.0,4414.0,76.0,5.0,20019.0
India,Punjab,3,Amritsar,27,2026,105368.0,34909.0,603.0,34.0,140914.0
India,Punjab,3,Bathinda,28,2026,58955.0,17189.0,182.0,14.0,76340.0
India,Punjab,3,Faridkot,29,2026,25733.0,8865.0,53.0,5.0,34656.0
India,Punjab,3,Fatehgarh Sahib,30,2026,27756.0,7099.0,190.0,5.0,35050.0
India,Punjab,3,Ferozepur,31,2026,37783.0,11466.0,101.0,3.0,49353.0
India,Punjab,3,Gurdaspur,32,2026,46641.0,16294.0,199.0,7.0,63141.0
India,Punjab,3,Hoshiarpur,33,2026,52183.0,18394.0,123.0,8.0,70708.0
India,Punjab,3,Jalandhar,34,2026,117278.0,41624.0,629.0,29.0,159560.0
India,Punjab,3,Kapurthala,35,2026,36418.0,14075.0,121.0,14.0,50628.0
India,Punjab,3,Ludhiana,36,2026,231060.0,61715.0,1461.0,65.0,294301.0
India,Punjab,3,Mansa,37,2026,25948.0,6538.0,64.0,6.0,32556.0
India,Punjab,3,Moga,38,2026,43001.0,16139.0,96.0,6.0,59242.0
India,Punjab,3,Sri Muktsar Sahib,39,2026,32587.0,8719.0,80.0,10.0,41396.0
India,Punjab,3,Shahid Bhagat Singh Nagar,40,2026,23891.0,8954.0,71.0,4.0,32920.0
India,Punjab,3,Patiala,41,2026,97939.0,29321.0,499.0,24.0,127783.0
India,Punjab,3,Rupnagar,42,2026,25003.0,7681.0,103.0,4.0,32791.0
India,Punjab,3,Sangrur,43,2026,55159.0,15032.0,237.0,27.0,70455.0
India,Punjab,3,Barnala,605,2026,26677.0,8396.0,107.0,5.0,35185.0
India,Punjab,3,S.A.S Nagar,608,2026,94115.0,31544.0,1441.0,53.0,127153.0
India,Punjab,3,Tarn Taran,609,2026,28736.0,10556.0,84.0,7.0,39383.0
India,Punjab,3,Fazilka,651,2026,36874.0,7954.0,71.0,16.0,44915.0
India,Punjab,3,Pathankot,662,2026,21385.0,5221.0,123.0,2.0,26731.0
India,Punjab,3,Malerkotla,737,2026,12864.0,3645.0,36.0,0.0,16545.0
India,Chandigarh,4,Chandigarh,44,2026,50422.0,13439.0,973.0,47.0,64881.0
India,Uttarakhand,5,Almora,45,2026,12192.0,3167.0,54.0,0.0,15413.0
India,Uttarakhand,5,Bageshwar,46,2026,4938.0,1226.0,16.0,1.0,6181.0
India,Uttarakhand,5,Chamoli,47,2026,9486.0,2872.0,27.0,5.0,12390.0
India,Uttarakhand,5,Champawat,48,2026,6270.0,1789.0,31.0,1.0,8091.0
India,Uttarakhand,5,Dehradun,49,2026,98236.0,30811.0,1132.0,33.0,130212.0
India,Uttarakhand,5,Haridwar,50,2026,73649.0,17755.0,486.0,31.0,91921.0
India,Uttarakhand,5,Nainital,51,2026,36132.0,10713.0,261.0,13.0,47119.0
India,Uttarakhand,5,Pauri Garhwal,52,2026,13153.0,3673.0,65.0,8.0,16899.0
India,Uttarakhand,5,Pithoragarh,53,2026,9647.0,3263.0,22.0,2.0,12934.0
India,Uttarakhand,5,Rudra Prayag,54,2026,6084.0,1191.0,10.0,1.0,7286.0
India,Uttarakhand,5,Tehri Garhwal,55,2026,12069.0,2995.0,66.0,2.0,15132.0
India,Uttarakhand,5,Udam Singh Nagar,56,2026,73432.0,18913.0,423.0,23.0,92791.0
India,Uttarakhand,5,Uttar Kashi,57,2026,8159.0,1993.0,32.0,0.0,10184.0
India,Haryana,6,Ambala,58,2026,51538.0,15868.0,358.0,19.0,67783.0
India,Haryana,6,Bhiwani,59,2026,43278.0,7154.0,311.0,7.0,50750.0
India,Haryana,6,Faridabad,60,2026,119384.0,32280.0,1690.0,77.0,153431.0
India,Haryana,6,Fatehabad,61,2026,38393.0,7749.0,166.0,7.0,46315.0
India,Haryana,6,Gurugram,62,2026,144078.0,39103.0,3927.0,145.0,187253.0
India,Haryana,6,Hisar,63,2026,72770.0,15018.0,571.0,26.0,88385.0
India,Haryana,6,Jhajjar,64,2026,31592.0,6494.0,359.0,6.0,38451.0
India,Haryana,6,Jind,65,2026,47447.0,9960.0,310.0,12.0,57729.0
India,Haryana,6,Kaithal,66,2026,48436.0,11869.0,249.0,9.0,60563.0
India,Haryana,6,Karnal,67,2026,80517.0,23953.0,771.0,27.0,105268.0
India,Haryana,6,Kurukshetra,68,2026,52329.0,16173.0,309.0,11.0,68822.0
India,Haryana,6,Mahendragarh,69,2026,27967.0,4187.0,173.0,11.0,32338.0
India,Haryana,6,Panchkula,70,2026,27853.0,8800.0,529.0,14.0,37196.0
India,Haryana,6,Panipat,71,2026,71489.0,17655.0,693.0,20.0,89857.0
India,Haryana,6,Rewari,72,2026,31573.0,6579.0,269.0,11.0,38432.0
India,Haryana,6,Rohtak,73,2026,39314.0,9024.0,348.0,7.0,48693.0
India,Haryana,6,Sirsa,74,2026,51753.0,11244.0,257.0,12.0,63266.0
India,Haryana,6,Sonipat,75,2026,56772.0,12297.0,658.0,21.0,69748.0
India,Haryana,6,Yamunanagar,76,2026,55083.0,15326.0,276.0,7.0,70692.0
India,Haryana,6,Nuh,604,2026,33703.0,4117.0,194.0,1.0,38015.0
India,Haryana,6,Palwal,619,2026,33105.0,6065.0,169.0,8.0,39347.0
India,Haryana,6,Charki Dadri,701,2026,10243.0,1736.0,66.0,0.0,12045.0
India,Haryana,6,Unknown Districts Of India,999999,2026,0.0,0.0,0.0,0.0,0.0
India,Delhi,7,Central,77,2026,64489.0,12556.0,1638.0,87.0,78770.0
India,Delhi,7,New Delhi,79,2026,62267.0,15195.0,1687.0,98.0,79247.0
India,Delhi,7,North,80,2026,59883.0,13516.0,979.0,66.0,74444.0
India,Delhi,7,North East,81,2026,67789.0,14327.0,526.0,35.0,82677.0
India,Delhi,7,North West,82,2026,163750.0,38209.0,2825.0,137.0,204921.0
India,Delhi,7,South,83,2026,96776.0,24659.0,3067.0,186.0,124688.0
India,Delhi,7,South West,84,2026,88217.0,27381.0,2038.0,134.0,117770.0
India,Delhi,7,West,85,2026,120442.0,34444.0,2482.0,113.0,157481.0
India,Delhi,7,South East,670,2026,36280.0,10697.0,983.0,35.0,47995.0
India,Rajasthan,8,Ajmer,86,2026,134782.0,23859.0,702.0,37.0,159380.0
India,Rajasthan,8,Alwar,87,2026,128209.0,19375.0,703.0,31.0,148318.0
India,Rajasthan,8,Banswara,88,2026,33814.0,9311.0,84.0,2.0,43211.0
India,Rajasthan,8,Baran,89,2026,29520.0,5405.0,109.0,2.0,35036.0
India,Rajasthan,8,Barmer,90,2026,68494.0,6593.0,284.0,6.0,75377.0
India,Rajasthan,8,Bharatpur,91,2026,50550.0,7716.0,348.0,8.0,58622.0
India,Rajasthan,8,Bhilwara,92,2026,119452.0,20590.0,718.0,19.0,140779.0
India,Rajasthan,8,Bikaner,93,2026,110149.0,16719.0,597.0,27.0,127492.0
India,Rajasthan,8,Bundi,94,2026,33604.0,4845.0,132.0,5.0,38586.0
India,Rajasthan,8,Chittorgarh,95,2026,65697.0,10153.0,285.0,18.0,76153.0
India,Rajasthan,8,Churu,96,2026,71167.0,10618.0,232.0,7.0,82024.0
India,Rajasthan,8,Dausa,97,2026,50192.0,7456.0,130.0,9.0,57787.0
India,Rajasthan,8,Dholpur,98,2026,21003.0,3434.0,77.0,3.0,24517.0
India,Rajasthan,8,Dungarpur,99,2026,26887.0,7088.0,71.0,3.0,34049.0
India,Rajasthan,8,Ganganagar,100,2026,95697.0,20356.0,326.0,22.0,116401.0
India,Rajasthan,8,Hanumangarh,101,2026,70550.0,11435.0,256.0,16.0,82257.0
India,Rajasthan,8,Jaipur,102,2026,499934.0,116538.0,4361.0,249.0,621082.0
India,Rajasthan,8,Jaisalmer,103,2026,23224.0,3628.0,65.0,1.0,26918.0
