country,statename,statecode,year,share_of_slum_population
India,Punjab,3,2001,2.8
India,Punjab,3,2011,2.2
India,Haryana,6,2001,3.2
India,Haryana,6,2011,2.5
India,Delhi,7,2001,3.9
India,Delhi,7,2011,2.7
India,Rajasthan,8,2001,3.0
India,Rajasthan,8,2011,3.2
India,Uttar Pradesh,9,2001,11.0
India,Uttar Pradesh,9,2011,9.5
India,Bihar,10,2001,1.6
India,Bihar,10,2011,1.9
India,West Bengal,19,2001,8.9
India,West Bengal,19,2011,9.8
India,Odisha,21,2001,2.1
India,Odisha,21,2011,2.4
India,Chhattisgarh,22,2001,2.1
India,Chhattisgarh,22,2011,2.9
India,Madhya Pradesh,23,2001,7.2
India,Madhya Pradesh,23,2011,8.7
India,Gujarat,24,2001,3.8
India,Gujarat,24,2011,2.6
India,Maharashtra,27,2001,22.9
India,Maharashtra,27,2011,18.1
India,Andhra Pradesh,28,2001,12.0
India,Andhra Pradesh,28,2011,15.6
India,Karnataka,29,2001,4.5
India,Karnataka,29,2011,5.0
India,Tamil Nadu,33,2001,8.1
India,Tamil Nadu,33,2011,8.9
India,Telangana,36,2001,12.0
India,Telangana,36,2011,15.6
