country,statename,statecode,districtname,districtcode,year,households,landless_manual_labour,non_agri_enterprises,income_tax_households,destitute_households,govt_salaried,public_salaried,private_salaried,income_less_5000,income_5000_10000,income_greater_10000,govt_income_gt_5000,motorized_vehicle,two_wheeler,three_wheeler,four_wheeler,fishing_boat,refrigerator,landline,mobile_only,landline_and_mobile,no_phone,agri_equipment,kisan_credit,unirrigated_land,irrigated_land,other_land,irrigation_equipment,no_land_irrigation,no_land_kisan_credit
India,Jammu and Kashmir,1,Anantnag,1,2011,252507.0,41835.0,7826.0,21276.0,994.0,51172.0,893.0,3451.0,162248.0,42776.0,47483.0,48584.0,24456.0,6170.0,1804.0,16363.0,119.0,23903.0,827.0,206953.0,6543.0,38184.0,2777.0,1260.0,94167.0,131460.0,42682.0,4838.0,173.0,237.0
India,Jammu and Kashmir,1,Budgam,2,2011,127154.0,19804.0,2583.0,8285.0,626.0,23804.0,657.0,2665.0,85367.0,19321.0,22466.0,22623.0,14168.0,5283.0,677.0,8170.0,38.0,15450.0,468.0,100507.0,3554.0,22625.0,2055.0,457.0,59664.0,42332.0,36119.0,2093.0,425.0,104.0
India,Jammu and Kashmir,1,Baramulla,3,2011,175909.0,32455.0,3265.0,14004.0,662.0,32999.0,822.0,1988.0,115648.0,29656.0,30605.0,31015.0,15688.0,5252.0,489.0,9597.0,350.0,14300.0,778.0,141354.0,3118.0,30659.0,4007.0,1075.0,109079.0,30454.0,64425.0,3757.0,101.0,77.0
India,Jammu and Kashmir,1,Doda,4,2011,113479.0,1328.0,3645.0,5835.0,100.0,20752.0,282.0,727.0,88554.0,8142.0,16783.0,17726.0,2951.0,1489.0,40.0,1380.0,42.0,7307.0,361.0,80944.0,802.0,31372.0,516.0,406.0,102593.0,26401.0,20454.0,352.0,124.0,95.0
India,Jammu and Kashmir,1,Jammu,5,2011,209537.0,38175.0,15018.0,30195.0,369.0,56981.0,1994.0,12717.0,105153.0,46130.0,58254.0,55216.0,63005.0,50591.0,841.0,11423.0,150.0,122198.0,2407.0,156886.0,10105.0,40139.0,8542.0,3724.0,62870.0,83878.0,17579.0,12277.0,655.0,589.0
India,Jammu and Kashmir,1,Kathua,7,2011,121623.0,18030.0,6400.0,12840.0,337.0,25990.0,542.0,3386.0,78150.0,19450.0,24023.0,24140.0,20204.0,16662.0,292.0,3204.0,46.0,44385.0,1460.0,94944.0,4031.0,21188.0,2792.0,1240.0,62655.0,30522.0,12359.0,5286.0,209.0,232.0
India,Jammu and Kashmir,1,Kupwara,8,2011,309009.0,31811.0,5584.0,24839.0,2272.0,54232.0,625.0,1447.0,233261.0,30601.0,45093.0,50267.0,15799.0,6861.0,587.0,8069.0,282.0,12577.0,1671.0,202715.0,2970.0,101653.0,2045.0,867.0,211614.0,32488.0,136975.0,1710.0,211.0,221.0
India,Jammu and Kashmir,1,Poonch,10,2011,160162.0,4911.0,10088.0,14523.0,658.0,23344.0,330.0,1439.0,120180.0,18587.0,21395.0,21304.0,5842.0,3331.0,213.0,2022.0,276.0,8818.0,3295.0,93282.0,2211.0,61374.0,2378.0,769.0,134961.0,91387.0,62928.0,5067.0,418.0,129.0
India,Jammu and Kashmir,1,Pulwama,11,2011,80045.0,11253.0,2396.0,6509.0,446.0,16994.0,364.0,1054.0,51234.0,13645.0,15166.0,16164.0,8174.0,2545.0,228.0,5319.0,82.0,7587.0,299.0,65767.0,2093.0,11886.0,698.0,581.0,43980.0,32812.0,22010.0,4717.0,47.0,69.0
India,Jammu and Kashmir,1,Rajouri,12,2011,211003.0,3204.0,14953.0,23233.0,457.0,43237.0,538.0,1237.0,152925.0,20587.0,37491.0,40003.0,13316.0,8418.0,120.0,4666.0,112.0,36083.0,2084.0,138902.0,2686.0,67331.0,5213.0,1920.0,187366.0,74960.0,49784.0,4785.0,374.0,104.0
India,Jammu and Kashmir,1,Srinagar,13,2011,4405.0,415.0,344.0,814.0,2.0,600.0,180.0,358.0,2135.0,1488.0,782.0,572.0,959.0,490.0,16.0,446.0,7.0,1410.0,17.0,4006.0,43.0,339.0,153.0,175.0,1871.0,685.0,468.0,148.0,1.0,168.0
India,Jammu and Kashmir,1,Udhampur,14,2011,107932.0,6373.0,6940.0,10629.0,127.0,20752.0,656.0,2093.0,72025.0,16766.0,19141.0,19068.0,9821.0,6677.0,235.0,2884.0,25.0,26575.0,321.0,83345.0,2421.0,21845.0,1479.0,1895.0,76786.0,39038.0,13639.0,1382.0,190.0,1288.0
India,Jammu and Kashmir,1,Kishtwar,620,2011,81082.0,3907.0,4492.0,4867.0,84.0,15842.0,602.0,1656.0,61799.0,7667.0,11616.0,12805.0,4419.0,2990.0,63.0,1331.0,35.0,7981.0,126.0,43123.0,610.0,37223.0,285.0,536.0,57542.0,39588.0,36610.0,431.0,82.0,53.0
India,Jammu and Kashmir,1,Ramban,621,2011,104666.0,4426.0,3811.0,7046.0,180.0,14874.0,522.0,815.0,85496.0,7426.0,11744.0,12706.0,1846.0,504.0,43.0,1260.0,39.0,4609.0,191.0,60509.0,502.0,43464.0,452.0,314.0,87733.0,23824.0,29669.0,793.0,15.0,23.0
India,Jammu and Kashmir,1,Kulgam,622,2011,72849.0,8275.0,1372.0,3751.0,569.0,10818.0,110.0,335.0,56352.0,7101.0,9396.0,10089.0,3676.0,1593.0,180.0,1875.0,28.0,1886.0,175.0,43704.0,562.0,28408.0,693.0,703.0,41453.0,26444.0,17311.0,2505.0,83.0,116.0
