circle_circle,bharti_airtel_may_25,bharti_airtel_june_25,reliance_may_25,reliance_june_25,vodafone_idea_may_25,vodafone_idea_june_25,bsnl_may_25,bsnl_june_25,mtnl_may_25,mtnl_june_25,reliance_jio_may_25,reliance_jio_june_25,total_may_25,total_june_25,net_addition_net_addition
Andhra Pradesh,34048191,34242244,0 0,9640343,9596019,<NA>,6928049,6914850,<NA>,<NA>,31945214,31919256,82561797,82672369,110572
Assam,12293151,12307089,<NA>,<NA>,1434019,1429694,2963344,2949537,<NA>,<NA>,9758191,9755628,26448705,26441948,-6757
Bihar,40988647,40991403,0,0,7830567,7858060,5724768,5685861,<NA>,<NA>,42434492,42682509,96978474,97217833,239359
Delhi,18955970,19006627,1,1,16668960,16728046,<NA>,<NA>,320183,174758,19955909,19893256,55901023,55802688,-98335
Gujarat,12410627,12420850,1,1,19779837,19750613,3251401,3240893,<NA>,<NA>,30771740,31098753,66213606,66511110,297504
Haryana,7297408,7337692,0,0,6326307,6310748,4235843,4254279,<NA>,<NA>,8354396,8352577,26213954,26255296,41342
Himachal Pradesh,3573207,3599301,0,0,381278,381258,1673678,1679271,<NA>,<NA>,3233151,3234729,8861314,8894559,33245
J & K,6226341,6315109,0,0,262255,259065,862849,861736,<NA>,<NA>,4939802,4999647,12291247,12435557,144310
Karnataka,32353587,32449731,404,402,6727033,6851977,4563424,4505756,<NA>,<NA>,25059651,25162401,68704099,68970267,266168
Kerala,9053445,9103787,0,0,12858619,12845818,8768554,8774237,<NA>,<NA>,10785088,10803334,41465706,41527176,61470
Kolkata,5388945,5374126,0,0,4768376,4754217,1454009,1373028,<NA>,<NA>,10802359,10795156,22413689,22296527,-117162
Madhya Pradesh,16640450,16695435,0,0,13333801,13277301,5092733,5056025,<NA>,<NA>,45986829,46412887,81053813,81441648,387835
Maharashtra,22643568,22744325,0,0,20236102,20282509,5270399,5251965,<NA>,<NA>,42862044,42921671,91012113,91200470,188357
Mumbai,10098290,10080637,65,58,10718766,10725076,<NA>,<NA>,139566,132334,12961608,12938940,33918295,33877045,-41250
North East,6453660,6457193,0,0,624589,627363,1287918,1282201,<NA>,<NA>,4359535,4361273,12725702,12728030,2328
Odisha,12003744,11991403,0,0,1423473,1428049,5556906,5540622,<NA>,<NA>,16263873,16361162,35247996,35321236,73240
Punjab,12534759,12553073,7,7,5940040,5888323,4075609,4072133,<NA>,<NA>,11400335,11386214,33950750,33899750,-51000
Rajasthan,23389579,23414504,52,51,9091447,8984641,5619511,5617556,<NA>,<NA>,26617594,26815995,64718183,64832747,114564
Tamil Nadu,30397167,30506366,0,0,14580242,14524173,7783965,7763268,<NA>,<NA>,24725577,24728678,77486951,77522485,35534
U.P.(E),36260483,36142330,0,0,16039247,16002747,8062697,8063891,<NA>,<NA>,42384979,42620661,102747406,102829629,82223
U.P.(W),18796958,18790030,0,0,14260491,14239513,4974408,4975788,<NA>,<NA>,24754486,24890351,62786343,62895682,109339
West Bengal,18442139,18490543,9,9,11511218,11473984,2619945,2601347,<NA>,<NA>,24751903,24886458,57325214,57452341,127127
Total,390250316,391013798,539,529,204437010,204219194,90770010,90464244,459749,307092,475108756,477021536,1161026380,1163026393,2000013
Net Addition,<NA>,763482,<NA>,-10,<NA>,-217816,<NA>,-305766,<NA>,-152657,<NA>,1912780,<NA>,2000013,<NA>
Rural Subscribers,191742961,191682273,0,0,97362742,97129207,29929299,29822407,23175,3652,211546494,211246667,530604671,529884206,-720465
