service_area,bsnl_may_25,bsnl_june_25,mtnl_may_25_june_25,mtnl_may_25,bharti_airtel_june_25,bharti_airtel_may_25,reliance_com,wireline_reliance_com_june_25,subscriber_tata_tele_may_25,tata_tele_june_25,base_quadrant_may_25_june_25,quadrant_may_25,vodafone_idea_june_25,vodafone_idea_may_25,reliance_jio_june_25,reliance_jio_may_25,stpl_june_25,stpl_may_25,total_june_25_may_25,total_june_25,,annexure_i_addition
Andhra Pradesh,659961,656358,<NA>,871984,859657,14717,14779,236661,1048507,<NA>,<NA>,81850,81870,1771541,1823782,<NA>,<NA>,612212,596084 4248926,<NA>,5081037,832111
Assam,102552,102139,<NA>,60958,62853,0,<NA>,0,<NA>,<NA>,<NA>,2310,2190,227198,232741,<NA>,<NA>,<NA>,<NA>,393018,399923,6905
Bihar,166176,165700,<NA>,378359,385956,9,9,13344,<NA>,63315,<NA>,5187,<NA>,5159 699768,731224,<NA>,<NA>,<NA>,<NA>,1262843,1351363,88520
Delhi,0,0 908600,834517,2354184,2352954,12775,12341,243083,979042,<NA>,<NA>,77051,72627,1197860,1216543,<NA>,<NA>,<NA>,<NA>,4793553,5468024,674471
Gujarat,470558,467336,<NA>,321549,326083,2255,2279,<NA>,203879,752038,<NA>,104745,<NA>,97015 886447,911253,<NA>,<NA>,<NA>,<NA>,1989433,2556004,566571
Haryana,350127,356912,<NA>,205606,209488,0,0,<NA>,38256,192552,<NA>,450,<NA>,360 212765,227865,<NA>,<NA>,<NA>,<NA>,807204,987177,179973
Himachal Pradesh,97005,97414,<NA>,16440,16995,0,0,1323,<NA>,4038,<NA>,90,60,72288,74231,<NA>,<NA>,<NA>,<NA>,187146,192738,5592
J & K,53205,52573,<NA>,137824,139095,0,0,<NA>,<NA>,<NA>,<NA>,30,30,254578,266398,<NA>,<NA>,<NA>,<NA>,445637,458096,12459
Karnataka,676783,674357,<NA>,1289604,1283002,11854,11669,505109,<NA>,2561298,<NA>,183271,175449,1101557,1147539,<NA>,<NA>,<NA>,<NA>,3768178,5853314,2085136
Kerala,1208389,1204076,<NA>,127802,129511,2326,2269,<NA>,16702,97375,<NA>,6707,<NA>,6687 379484,383029,<NA>,<NA>,<NA>,<NA>,1741410,1822947,81537
Kolkata,233224,231980,<NA>,214908,215592,3001,2561,<NA>,64473,360316,<NA>,13519,<NA>,12993 621521,637058,<NA>,<NA>,<NA>,<NA>,1150646,1460500,309854
Madhya Pradesh,307225,305423,<NA>,607877,613760,5,5,41427,<NA>,144004,<NA>,70612,46492,1015428,1042127,<NA>,<NA>,<NA>,<NA>,2042574,2151811,109237
Maharashtra,658795,652001,<NA>,601174,607932,6492,6400,<NA>,215379,1019200,<NA>,20385,<NA>,20090,435302,459280,<NA>,<NA>,<NA>,1937527,2764903,827376
Mumbai,2162,2162 1026701,1012416,634786,632930,31082,30768,648914,2625763,<NA>,<NA>,184282,<NA>,181481 1031027,1035320,<NA>,<NA>,<NA>,<NA>,3558954,5520840,1961886
North East,60329,59925,<NA>,0,0,0,0,<NA>,<NA>,<NA>,<NA>,480,480,<NA>,220273,223304,<NA>,<NA>,<NA>,281082,283709,2627
Odisha,155349,155693,<NA>,87256,89520,4,4,16711,<NA>,86140,<NA>,2750,<NA>,2564 327135,334067,<NA>,<NA>,<NA>,<NA>,589205,667988,78783
Punjab,545037,547174,<NA>,387070,393181,1508,1508,14956,<NA>,62136 343557,342177,1600,1360,497240,518129,54262,54364,<NA>,<NA>,1845230,1920029,74799
Rajasthan,299266 298436,<NA>,<NA>,330506,332881,2841,2863,24802,<NA>,87907,<NA>,12885,10065,578857,613924,<NA>,<NA>,<NA>,<NA>,1249157,1346076,96919
Tamil Nadu,987236 980922,<NA>,<NA>,1019127,1033209,9376,<NA>,9311,135352,776974,<NA>,30992,<NA>,30620 1026542,1048938,<NA>,<NA>,<NA>,<NA>,3208625,3879974,671349
U.P.(E),138902,139051,<NA>,333388,341290,28,29,12477,<NA>,55613,<NA>,17102,16382,736997,771737,<NA>,<NA>,<NA>,<NA>,1238894,1324102,85208
U.P.(W),213317,214172,<NA>,232628,235465,7,7,7211,<NA>,25120,<NA>,4126,4020,841280,876465,<NA>,<NA>,<NA>,<NA>,1298569,1355249,56680
West Bengal,187390,185344,<NA>,91171,92883,21,<NA>,21,2455,6973,<NA>,<NA>,150,150 341181,355596,<NA>,<NA>,<NA>,<NA>,622368,640967,18599
<NA>,7572988,7549148,1935301 1846933,10304201,10354237,<NA>,<NA>,96823,2442514,10948311,343557,342177 820574,768144,14476269,14930550,54262,54364,612212,596084,38660179,47486771,8826592
Total Net Addition,<NA>,-23840,-88368 29,<NA>,50036,98301,-1478,<NA>,<NA>,8505797,-1380,<NA>,-52430,<NA>,<NA>,454281,102,<NA>,-16128,<NA>,8826592,<NA>
Rural Subscribers,2150556,2153721,29,2596,2646,300,<NA>,300,5129,1505943,165910 165167,0,0,1102392,1231021,0,0,451958,439845,3878870,5498672,1619802
